code_stock,year,predict_num,min_EPS,avg_EPS,max_EPS,avg_industry_EPS,min_RP,avg_RP,max_RP,avg_industry_RP
600760,2020,23,0.80,0.94,1.05,0.61,11.23,13.14,14.72,17.97
600760,2021,23,0.91,1.03,1.21,0.75,12.70,14.54,18.00,19.43
600760,2022,18,1.03,1.21,1.46,0.97,14.46,17.19,23.10,24.07
600795,2020,4,0.14,0.17,0.22,0.56,28.09,34.09,42.78,47.56
600795,2021,4,0.18,0.22,0.25,0.63,36.13,43.26,49.01,50.43
600795,2022,3,0.27,0.28,0.29,0.71,53.27,55.27,57.51,53.11
600809,2020,32,2.58,2.80,3.05,6.13,22.47,24.39,26.57,86.64
600809,2021,31,3.18,3.47,3.96,7.40,27.72,30.22,34.54,104.53
600809,2022,26,3.69,4.07,4.63,9.40,32.18,35.51,40.31,132.63
600837,2020,21,0.68,0.89,1.21,0.77,78.77,104.36,138.80,70.53
600837,2021,20,0.79,1.04,1.29,0.88,103.80,121.95,148.44,80.82
600837,2022,15,0.94,1.20,1.56,1.02,116.60,141.76,179.01,93.74
600848,2020,1,0.69,0.69,0.69,2.28,14.45,14.45,14.45,134.53
600848,2021,1,0.76,0.76,0.76,2.73,15.89,15.89,15.89,157.75
600848,2022,1,0.84,0.84,0.84,3.30,17.56,17.56,17.56,189.18
600867,2020,13,0.46,0.48,0.58,1.56,9.33,9.79,11.75,12.54
600867,2021,13,0.55,0.59,0.71,2.01,11.22,12.00,14.51,15.59
600867,2022,11,0.67,0.71,0.81,2.62,13.60,14.53,16.48,20.04
600886,2020,12,0.69,0.76,0.84,0.56,46.83,51.35,56.98,47.56
600886,2021,12,0.71,0.78,0.86,0.63,48.34,53.09,58.36,50.43
600886,2022,11,0.73,0.85,1.02,0.71,49.36,57.86,68.87,53.11
600887,2020,33,0.86,1.04,1.22,1.01,51.93,63.31,74.20,16.40
600887,2021,33,1.04,1.31,1.43,1.22,63.10,79.73,87.33,19.93
600887,2022,31,1.22,1.49,1.72,1.48,73.73,90.71,104.27,24.65
600893,2020,15,0.52,0.57,0.62,0.61,11.72,12.83,13.95,17.97
600893,2021,14,0.56,0.66,0.74,0.75,12.56,14.88,16.69,19.43
600893,2022,11,0.61,0.78,0.89,0.97,13.63,17.54,20.10,24.07
600900,2020,22,0.95,1.02,1.06,0.56,208.08,223.82,233.90,47.56
600900,2021,20,0.94,1.05,1.23,0.63,206.40,231.14,271.30,50.43
600900,2022,14,0.97,1.10,1.41,0.71,213.16,242.08,309.51,53.11
600919,2020,12,0.99,1.32,1.41,1.56,106.12,155.75,163.78,735.86
600919,2021,12,1.11,1.46,1.57,1.75,118.75,172.33,183.85,790.69
600919,2022,6,1.24,1.62,1.73,1.97,190.64,198.08,206.16,843.95
600926,2020,11,0.68,1.21,1.34,1.56,40.21,71.79,79.49,735.86
600926,2021,10,0.77,1.46,1.61,1.75,45.50,86.60,95.70,790.69
600926,2022,7,1.81,1.89,2.00,1.97,107.26,112.16,118.43,843.95
600928,2020,4,0.65,0.66,0.66,1.56,20.12,26.91,29.27,735.86
600928,2021,4,0.72,0.73,0.75,1.75,21.31,29.72,33.31,790.69
600928,2022,2,0.83,0.85,0.87,1.97,36.77,37.78,38.79,843.95
600958,2020,14,0.32,0.41,0.54,0.77,22.38,28.77,37.91,70.53
600958,2021,14,0.36,0.49,0.68,0.88,25.18,34.20,47.47,80.82
600958,2022,10,0.44,0.57,0.89,1.02,30.97,40.38,62.23,93.74
600968,2020,6,0.11,0.13,0.14,0.39,11.29,13.33,14.34,14.69
600968,2021,6,0.13,0.15,0.17,0.52,12.95,15.38,16.93,18.86
600968,2022,5,0.16,0.17,0.19,0.64,15.88,17.59,19.54,23.22
600977,2020,10,-0.26,0.23,0.75,0.31,-4.89,4.21,14.00,5.28
600977,2021,8,0.53,0.62,0.70,0.52,9.90,11.65,13.12,8.66
600977,2022,7,0.55,0.70,0.80,0.61,10.25,13.11,14.90,10.54
600989,2020,12,0.57,0.68,0.78,1.20,41.46,49.47,57.00,11.21
600989,2021,11,0.72,0.81,0.99,1.56,52.83,58.57,72.73,14.81
600989,2022,10,0.83,0.95,1.19,1.97,61.13,69.99,87.51,18.87
600998,2020,6,1.13,1.22,1.31,1.52,21.19,22.89,24.52,14.86
600998,2021,6,1.41,1.49,1.57,1.80,26.55,27.90,29.55,17.26
600998,2022,4,1.74,1.84,1.99,2.32,32.67,34.61,37.43,19.84
600999,2020,15,0.81,1.13,1.37,0.77,74.02,79.44,92.01,70.53
600999,2021,15,0.86,1.26,1.71,0.88,80.26,88.15,114.42,80.82
600999,2022,12,0.92,1.43,2.06,1.02,86.88,98.70,137.85,93.74
601006,2020,15,0.63,0.79,0.98,0.46,93.90,117.92,145.69,71.17
601006,2021,13,0.83,0.90,0.96,0.50,122.79,134.03,142.37,80.93
601006,2022,11,0.85,0.93,0.99,0.57,125.83,138.05,147.04,91.35
601009,2020,17,1.35,1.50,1.65,1.56,137.21,142.01,156.11,735.86
601009,2021,17,1.54,1.71,1.86,1.75,155.99,161.11,170.71,790.69
601009,2022,11,1.76,2.00,2.15,1.97,177.00,184.85,196.42,843.95
601012,2020,44,1.47,1.67,2.27,1.68,54.71,63.01,85.73,39.40
601012,2021,43,1.71,2.06,3.43,1.95,61.85,77.47,129.28,44.04
601012,2022,35,2.02,2.48,5.17,2.25,76.03,93.62,194.92,50.37
601018,2020,3,0.19,0.23,0.26,0.52,25.56,30.11,33.79,33.85
601018,2021,3,0.23,0.25,0.28,0.54,30.61,33.31,36.39,34.89
601021,2020,13,0.25,0.74,2.46,0.35,2.26,6.80,22.52,0.62
