code_stock,code_industry,pe_stock,pb_stock,pe_industry,pb_industry,date_time
559,C36,32.21,2.47,20.65,1.51,2020-05-29
563,J69,24.65,1.22,17.79,1.31,2020-05-29
564,F52,--,0.8,21.46,1.78,2020-05-29
581,C36,9.32,1.15,20.65,1.51,2020-05-29
598,D46,12.89,1.21,16.1,1.13,2020-05-29
600,D44,11.94,0.73,17.02,1.24,2020-05-29
623,C27,16.23,0.78,43.1,4.17,2020-05-29
636,C39,71.33,3.83,41.54,3.93,2020-05-29
681,R87,75.32,4.62,61.95,5.99,2020-05-29
685,D46,11.74,0.83,16.1,1.13,2020-05-29
686,J67,24.22,1.18,24.97,1.56,2020-05-29
690,D44,13.7,1.09,17.02,1.24,2020-05-29
712,J67,400.59,3.23,24.97,1.56,2020-05-29
717,C31,4.98,1.06,10.69,0.85,2020-05-29
718,K70,6.96,1.07,8.07,1.15,2020-05-29
727,C39,--,1.79,41.54,3.93,2020-05-29
729,C15,--,1.4,34.72,7.25,2020-05-29
732,K70,--,0.53,8.07,1.15,2020-05-29
738,C37,49.62,2.65,30.04,1.79,2020-05-29
750,J67,42.31,1.24,24.97,1.56,2020-05-29
758,B09,--,1.9,39.67,2.37,2020-05-29
761,C31,27.51,0.65,10.69,0.85,2020-05-29
766,C27,--,1.84,43.1,4.17,2020-05-29
778,C33,8.57,0.61,27.58,2.1,2020-05-29
807,C32,20.15,1.14,32.73,1.88,2020-05-29
813,C27,37.96,2.05,43.1,4.17,2020-05-29
825,C31,9.74,0.58,10.69,0.85,2020-05-29
826,N77,38.84,0.69,23.45,1.74,2020-05-29
830,C26,7.7,0.92,23.35,2.06,2020-05-29
